segment_index,street,length_m,start_lon,start_lat,end_lon,end_lat
1,Patrick Street,81.92682385845372,-74.4511747,40.4894213,-74.4504089,40.4898723
2,Drift Street,85.95962985548957,-74.4504089,40.4898723,-74.44963,40.490369
3,Drift Street,81.5630801609333,-74.44963,40.490369,-74.4489131,40.4908597
4,Drift Street,81.19400809681595,-74.4489131,40.4908597,-74.4481883,40.4913386
5,Drift Street,80.99841664454836,-74.4481883,40.4913386,-74.4474798,40.4918288
6,Drift Street,136.10106268855208,-74.4474798,40.4918288,-74.446264,40.4926308
7,Kirkpatrick Street,162.49225554815803,-74.4465419,40.494006,-74.446264,40.4926308
8,Kirkpatrick Street,89.63968142441304,-74.4467056,40.4947636,-74.4465419,40.494006
9,Kirkpatrick Street,138.17714474128024,-74.4467056,40.4947636,-74.4469212,40.4959304
10,French Street,101.55880755938028,-74.4469212,40.4959304,-74.4461663,40.4963113
11,Albany Street,45.0467982268752,-74.4457508,40.4965516,-74.4461663,40.4963113
12,Albany Street,124.3303561795792,-74.4443072,40.4967595,-74.4457508,40.4965516
